nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score,benefit_per_cost
NCT06477406,Evaluating the Impact of a Novel Cannabinoid Product for Endometriosis,Recruiting,Phase 2,['Endometriosis'],['Cannabidiol' 'Placebo'],['United States'],Mclean Hospital,Mclean Hospital,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06477419,A Study of Sacituzumab Govitecan in People With Mesothelioma,Recruiting,Phase 2,['Mesothelioma' 'Mesotheliomas Pleural' 'Mesothelioma; Pleura'],['Sacituzumab govitecan-hziy'],['United States'],Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06477549,BeFluBu vs FluBuRux Conditioning in Haploidentical HCT,Recruiting,Phase 2,"['Acute Lymphoblastic Leukemia' 'Acute Myeloid Leukemia'
 'Biphenotypic Acute Leukemia' 'Lymphoblastic Lymphoma'
 'Myeloproliferative Neoplasm' 'Myelodysplastic Syndromes']",['Bendamustine Hydrochloride' 'Ruxolitinib'],['Russia'],St. Petersburg State Pavlov Medical University,St. Petersburg State Pavlov Medical University,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06477653,Dupilumab as Add-On Therapy for Hypereosinophilic Syndrome With Partial Clinical Response to Eosinophil-Depleting Biologic Agents,Recruiting,Phase 2,['Hypereosinophilic Syndrome'],['dupilumab'],['United States'],National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID),Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06477692,Invert-Prospective Phase II Randomized Trial of Involved Nodal Versus Elective Neck RadioTherapy,Recruiting,Phase 2,['Head and Neck Cancer'],['ENI using IMRT with or without chemotherapy' 'INRT' 'ENI'],['United States'],University of Texas Southwestern Medical Center,University of Texas Southwestern Medical Center,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06478017,Belatacept in Heart Transplantation,Recruiting,Phase 2,['Heart Transplant'],['Belatacept' 'Tacrolimus' 'Mycophenolate Mofetil/Sodium' 'Prednisone'],['United States'],National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID),Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06478589,Patient Priorities for Survivorship Care in Older Breast Cancer Survivors,Recruiting,Phase 2,['Breast Cancer Survivorship'],['Adapted Patient Priorities Care (PPC) approach' 'Usual Care'],['United States'],"The University of Texas Health Science Center, Houston","The University of Texas Health Science Center, Houston",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06476132,Belumosudil to Block Chronic Lung Allograft Dysfunction (CLAD) in High Risk Lung Transplant Recipients,Recruiting,Phase 2,['Lung Transplant'],['Belumosudil' 'Placebo for Belumosudil'],['United States'],National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID),Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06478706,"A Two-Part Study to Evaluate the Efficacy, Safety, Tolerability and Pharmacokinetics of Repeat Doses of Inhaled ETD001 in People With Cystic Fibrosis","Active, not recruiting",Phase 2,['Cystic Fibrosis'],['ETD001' 'Placebo'],['France' 'Germany' 'Italy' 'United Kingdom'],Enterprise Therapeutics Ltd,Enterprise Therapeutics Ltd,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06478862,Promitil Treatment of Patients With Solid Tumors Associated With Deleterious Mutations Who Have Progressed After Therapy,"Active, not recruiting",Phase 2,['Cancer of Ovary' 'Pancreatic Ductal Adenocarcinoma'],['Promitil'],['Israel'],Lipomedix Pharmaceuticals Inc.,Lipomedix Pharmaceuticals Inc.,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06478953,Impact of Rapid Pathogen Detection in ICU Patients With Suspected Pneumonia on Antimicrobial Therapy,Recruiting,Phase 2,['Pneumonia' 'Critically Ill'],['FA Pneumonia Panel'],['Hong Kong'],Chinese University of Hong Kong,Chinese University of Hong Kong,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06479161,Effects of Oral Tranexamic Acid Following Total Knee Arthroplasty,Recruiting,Phase 2,['Postoperative Pain'],['Tranexamic acid'],['United States'],"Matthew Grosso, MD","Matthew Grosso, MD",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06479356,CD19-targeted CAR T Cells for Relapsed or Refractory (R/R) Large B-cell Lymphoma,Recruiting,Phase 2,['Non-Hodgkin Lymphoma' 'Large B-cell Lymphoma'],['Relma-cel'],['China'],"Shanghai Ming Ju Biotechnology Co., Ltd.","Shanghai Ming Ju Biotechnology Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06479759,LM-108 Antibody Combination With Sintilimab for Locally Advanced or Metastatic Non-Small Cell Lung Cancer,Recruiting,Phase 2,['NSCLC' 'PD-1'],"['LM-108 antibody and sintilimab'
 'LM-108 antibody and sintilimab and chemotherapy']",['China'],"Shanghai Pulmonary Hospital, Shanghai, China","Shanghai Pulmonary Hospital, Shanghai, China",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06480383,Study of ITI-1284 as an Adjunctive Treatment in Patients With Generalized Anxiety Disorder,Recruiting,Phase 2,['Generalized Anxiety Disorder'],['ITI-1284 10 mg' 'ITI-1284 20 mg' 'Placebo'],['United States'],"Intra-Cellular Therapies, Inc.","Intra-Cellular Therapies, Inc.",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06477146,Milk Thistle Clinical Trial in Pediatric NAFLD,Recruiting,Phase 2,['Non-Alcoholic Fatty Liver Disease (NAFLD)'],['Milk thistle (MT)' 'Placebo' 'Lifestyle Modification' 'Fibroscan'],['United States'],University Hospitals Cleveland Medical Center,University Hospitals Cleveland Medical Center,Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06475781,Study to Evaluate Safety and Efficacy of Mirivadelgat in PH-ILD,Recruiting,Phase 2,['Group 3 Pulmonary Hypertension'],['Mirivadelgat' 'placebo'],['Taiwan'],"Foresee Pharmaceuticals Co., Ltd.","Foresee Pharmaceuticals Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6,0.3
NCT06471556,Efficacy of Methylprednisolone Pulses in Neuroendocrine Celles Hyperplasia of Infancy : An Early Phase Study,Recruiting,Phase 2,['Neuroendocrine Cell Hyperplasia of Infancy'],['IV Methylprednisolone pulses'],['France'],Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Global / Multi-Region,2.0,1.0,0.6,0.3
