nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT06299813,Effectiveness of a Single Dose of Betamethasone in Children With Symptomatic Adenovirus Infection,Recruiting,Phase 3,['Adenovirus'],['Bentelan' 'Placebo'],['Italy'],A.O.U. Città della Salute e della Scienza,A.O.U. Città della Salute e della Scienza,Global / Multi-Region,4.0,1.0,0.8
NCT06299826,A Phase IIb Study of AZD5462 in Patients With Chronic Heart Failure,"Active, not recruiting",Phase 2,['Chronic Heart Failure'],['AZD5462' 'Placebo'],"['Bulgaria' 'Czechia' 'Denmark' 'Hungary' 'India' 'Japan' 'Netherlands'
 'Poland' 'Slovakia' 'United States']",AstraZeneca,AstraZeneca,Global / Multi-Region,2.0,1.0,0.6
NCT06299891,Efficacy and Safety of Phentermine/Topiramate in Youth With Hypothalamic Obesity,Recruiting,Phase 2,['Hypothalamic Obesity' 'Hypothalamic Tumor' 'Craniopharyngioma'],"['Phentermine / Topiramate Extended Release Oral Capsule [Qsymia]'
 'Placebo']",['United States'],Seattle Children's Hospital,Seattle Children's Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06300177,D-1553 Tablet Versus Docetaxel Injection for KRAS G12C Mutation-positive Locally Advanced or Metastatic Non-small Cell Lung Cancer After Prior Standard Therapy Failure,Recruiting,Phase 3,['Non Small Cell Lung Cancer'],['D-1553 Tablet' 'Docetaxel injection'],['China'],"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Global / Multi-Region,4.0,1.0,0.8
NCT06300203,Study of CM310 in Patients With Uncontrolled Seasonal Allergic Rhinitis,Recruiting,Phase 2,['Seasonal Allergic Rhinitis'],['Interleukin-4 receptor responders' 'Placebo'],['China'],Beijing Tongren Hospital,Beijing Tongren Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06300320,A Clinical Trial of TQ05105 Tablets in the Treatment of Chronic Graft-versus-host Disease,Recruiting,Phase 2,['Chronic Graft Versus Host Disease'],['TQ05105 tablets'],['China'],"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6
NCT06300424,Neoadjuvant Almonertinib Followed by Chemo-immunotherapy in II-IIIB EGFR-mutant NSCLC,Recruiting,Phase 2,['Non Small Cell Lung Cancer' 'EGFR Gene Mutation'],['almonertinib' 'Carboplatin' 'Nab paclitaxel'],['China'],Guangdong Provincial People's Hospital,Guangdong Provincial People's Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06300463,Platform Study of Immunotherapy Combinations in Colorectal Cancer Liver Metastases,Recruiting,Phase 2,['Colorectal Cancer Metastatic' 'Liver Metastases' 'Colorectal Cancer'],['Botensilimab' 'Balstilimab' 'AGEN1423' 'Radiation'],['United States'],Weill Medical College of Cornell University,Weill Medical College of Cornell University,Global / Multi-Region,2.0,1.0,0.6
NCT06300528,Pemigatinib in Patients With Relapsed or Refractory B-cell Non-Hodgkin Lymphomas,Recruiting,Phase 2,['Relapsed or Refractory B-cell Non-Hodgkin Lymphoma'],['Pemigatinib'],['United States'],University of Utah,University of Utah,Global / Multi-Region,2.0,1.0,0.6
NCT06301165,TPC Versus GP Induction Chemotherapy for Nasopharyngeal Carcinoma,Recruiting,Phase 2,['Nasopharyngeal Carcinoma'],['TPC induction chemotherapy' 'GP induction chemotherapy'],['China'],Sun Yat-sen University,Sun Yat-sen University,Global / Multi-Region,2.0,1.0,0.6
NCT06301399,Rituximab Combined With Prior Therapy in Advanced Hepatocellular Carcinoma: Efficacy & Safety Study,Recruiting,Phase 2,['Advanced Hepatocellular Carcinoma'],['Rituximab+PD-1 or PD-L1 inhibitors+targeted therapy'],['China'],Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06301412,Combination of Hypothermia and Thrombectomy in Acute Stroke,Recruiting,Phase 3,['Ischemic Stroke' 'Large Vessel Occlusion' 'Endovascular Treatment'],['hypothermia'],['Germany'],University of Freiburg,University of Freiburg,Global / Multi-Region,4.0,1.0,0.8
NCT06301828,Endostar Combined With SBRT and Envafolimab in the Treatment of Advanced Gastrointestinal Tumors,Recruiting,Phase 2,['Gastrointestinal Neoplasms'],['Envafolimab Injection' 'Endostar'],['China'],"Nanjing First Hospital, Nanjing Medical University","Nanjing First Hospital, Nanjing Medical University",Global / Multi-Region,2.0,1.0,0.6
NCT06301997,A Herbal Compound for Psoriasis,"Active, not recruiting",Phase 2,['Psoriasis' 'Inflammation' 'Skin Diseases'],['ZAX.1400.P03' 'Placebo'],['Iran'],Fasa University of Medical Sciences,Fasa University of Medical Sciences,Global / Multi-Region,2.0,1.0,0.6
NCT06302335,Povidone-iodine vs Saline Solution in Colorectal Surgeries and Its Effects on the Surgical Site Infection,Recruiting,Phase 3,['Surgical Site Infection'],['Povidone-iodine' 'Saline solution'],['Brazil'],Hospital de Clinicas de Porto Alegre,Hospital de Clinicas de Porto Alegre,Global / Multi-Region,4.0,1.0,0.8
NCT06302348,A Study of Sepiapterin in Participants With Phenylketonuria (PKU),Recruiting,Phase 3,['Phenylketonuria'],['Sepiapterin'],['United States'],PTC Therapeutics,PTC Therapeutics,Global / Multi-Region,4.0,1.0,0.8
NCT06302491,A Study of Safety and Efficiency of AND017 in Patients With β-thalassemia,Recruiting,Phase 2,['β -Thalassemia'],['AND017 capsules' 'AND017 Placebo'],['China'],Kind Pharmaceuticals LLC,Kind Pharmaceuticals LLC,Global / Multi-Region,2.0,1.0,0.6
NCT06302569,Pembrolizumab Plus Enfortumab Vedotin in Collecting Duct and Renal Medullary Carcinoma,Recruiting,Phase 2,"['Bellini Carcinoma' 'Collecting Duct Carcinoma'
 'Renal Medullary Carcinoma']",['Pembrolizumab + Enfortumab Vedotin'],['Italy'],Giuseppe Procopio,Giuseppe Procopio,Global / Multi-Region,2.0,1.0,0.6
NCT06303128,Penicillin Allergy Delabeling After a One-Dose Versus Two-Dose Graded Direct Oral Challenge,Recruiting,Phase 3,['Penicillin Allergy'],['Amoxicillin 250 MG' 'Placebo' 'Amoxicillin 62.5mg' 'Amoxicillin 187.5mg'],['United States'],"James Tarbox, MD","James Tarbox, MD",Global / Multi-Region,4.0,1.0,0.8
NCT06303167,Testing AZD9291 as Potentially Targeted Treatment in Cancers With EGFR Genetic Changes (MATCH-Subprotocol E),"Active, not recruiting",Phase 2,"['Advanced Lymphoma' 'Advanced Malignant Solid Neoplasm'
 'Hematopoietic and Lymphoid Cell Neoplasm' 'Refractory Lymphoma'
 'Refractory Malignant Solid Neoplasm' 'Refractory Multiple Myeloma']","['Biopsy Procedure' 'Biospecimen Collection' 'Echocardiography Test'
 'Multigated Acquisition Scan' 'Osimertinib' 'Radiologic Examination']",['United States'],National Cancer Institute (NCI),National Cancer Institute (NCI),Global / Multi-Region,2.0,1.0,0.6
