nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT06186804,A Phase II Study Evaluating the Efficacy and Safety of ABSK021 (Pimicotinib)) in the Treatment of cGvHD Chronic Graft Versus Host Disease (cGvHD),Enrolling by invitation,Phase 2,['cGvHD'],['ABSK021'],['China'],"Abbisko Therapeutics Co, Ltd","Abbisko Therapeutics Co, Ltd",Global / Multi-Region,2.0,1.0,0.6
NCT06187506,Disitamab Vedotin Combined With BCG Therapy in HER2-expressing High-risk Non-muscle Invasive Bladder Cancer,Recruiting,Phase 2,['Non-muscle Invasive Bladder Cancer' 'HER-2 Protein Overexpression'],['Disitamab vedotin' 'Bacillus Calmette Guerin Vaccine'],['China'],Fudan University,Fudan University,Global / Multi-Region,2.0,1.0,0.6
NCT06187597,Consolidation of Toripalimab After Chemoradiotherapy in Elderly Esophageal Cancer (EC-CRT-007),Recruiting,Phase 2,['Locally Advanced Esophageal Squamous Cell Carcinoma'],['S-1' 'Toripalimab' 'Intensity-modulated radiotherapy'],['China'],Sun Yat-sen University,Sun Yat-sen University,Global / Multi-Region,2.0,1.0,0.6
NCT06187961,"Combined HAIC, Lenvatinib and Cadonilimab As Conversion Therapy for Unresectable Hepatocellular Carcinoma",Recruiting,Phase 2,['Hepatocellular Carcinoma Non-resectable'],['HAIC' 'Lenvatinib plus cadonilimab'],['China'],Tongji Hospital,Tongji Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06188559,A Study of BB-1701 in Previously Treated Participants With Human Epidermal Growth Factor Receptor 2 (HER2)-Positive or HER2-low Unresectable or Metastatic Breast Cancer,"Active, not recruiting",Phase 2,['Breast Cancer'],['BB-1701'],['France' 'Japan' 'Spain' 'United States'],Eisai Inc.,Eisai Inc.,Global / Multi-Region,2.0,1.0,0.6
NCT06188663,SalT Supplementation in Older Adults With Orthostatic Intolerance Disorders,Recruiting,Phase 2,['Orthostatic Hypotension'],['Salt supplementation (encapsulated sodium chloride)'],['Ireland'],University of Galway,University of Galway,Global / Multi-Region,2.0,1.0,0.6
NCT06188741,Selumetinib for the Prevention of Plexiform Neurofibroma Growth in NF Type 1,Recruiting,Phase 2,['Neurofibromatosis 1' 'Plexiform Neurofibroma'],['Selumetinib'],['United States'],University of Alabama at Birmingham,University of Alabama at Birmingham,Global / Multi-Region,2.0,1.0,0.6
NCT06188923,A New Intervention to Improve Function in Veterans With Anxiety and Depression,Recruiting,Phase 2,['Anxiety and Depression'],['Pregnenolone' 'Placebo'],['United States'],VA Office of Research and Development,VA Office of Research and Development,Global / Multi-Region,2.0,1.0,0.6
NCT06189209,Efficacy and Safety of Tenalisib in Patients With Metastatic Triple Negative Breast Cancer (TNBC),Recruiting,Phase 2,['Triple Negative Breast Cancer (TNBC)'],['Tenalisib'],['India'],Rhizen Pharmaceuticals SA,Rhizen Pharmaceuticals SA,Global / Multi-Region,2.0,1.0,0.6
NCT06189495,"A Randomized, Double-blind, Placebo-controlled Phase II Clinical Study to Evaluate the Safety, Tolerability, Efficacy, and Pharmacokinetic Profile of Genakumab Injection in Patients With Connective Tissue Disease-associated Interstitial Lung Disease",Recruiting,Phase 2,"['Systemic Sclerosis Associated Interstitial Lung Disease'
 'Rheumatoid Arthritis Associated Interstitial Lung Disease (RA-ILD)'
 'Systemic Sclerosis Associated Interstitial Lung Disease (SSc-ILD)']",['GenSci048' 'GenSci048 placebo'],['China'],"Changchun GeneScience Pharmaceutical Co., Ltd.","Changchun GeneScience Pharmaceutical Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6
NCT06189638,Phase II Study to Evaluate Efficacy and Safety of AMP Peptide PL-5 in Mild Infections of Diabetic Foot Ulcers,"Active, not recruiting",Phase 2,['Diabetic Foot Ulcers'],['Antimicrobial Peptide PL-5 Topical Spray and Placebo'],['United States'],"Jiangsu ProteLight Pharmaceutical & Biotechnology Co., Ltd.","Jiangsu ProteLight Pharmaceutical & Biotechnology Co., Ltd.",Global / Multi-Region,2.0,1.0,0.6
NCT06189742,Tezepelumab in Allergic Rhinitis and Asthma Study (TEZARS),Recruiting,Phase 2,['Asthma With Allergic Rhinitis'],['Tezepelumab'],['Canada'],Dr. Anne Ellis,Dr. Anne Ellis,Global / Multi-Region,2.0,1.0,0.6
NCT06189820,Role of the Fibroblast Activation Protein (FAP) as Biomarker of Fibrotic Lung Diseases,Recruiting,Phase 2,"['Pulmonary Fibrosis' 'Lung Fibrosis' 'Idiopathic Pulmonary Fibrosis'
 'FAP']",['FAPI PET/CT'],['Belgium'],Erasme University Hospital,Erasme University Hospital,Global / Multi-Region,2.0,1.0,0.6
NCT06189833,Phase 2 Study Applying MRD Techniques for Participants With Previously Untreated Multiple Myeloma Treated With D-VRd Prior To and After High-dose Therapy Followed by ASCT - TAURUS,Recruiting,Phase 2,['Multiple Myeloma'],['Daratumumab' 'Bortezomib' 'Lenalidomide' 'Dexamethasone'],['Austria' 'Germany' 'Greece' 'Italy' 'Netherlands'],Stichting European Myeloma Network,Stichting European Myeloma Network,Global / Multi-Region,2.0,1.0,0.6
NCT06190067,Azacitidine Plus PD-1 Therapy for R/R Hodgkin Lymphoma,Recruiting,Phase 2,['Relapsed Classic Hodgkin Lymphoma' 'Refractory Classic Hodgkin Lymphoma'],['Azacitidine Plus PD-1 therapy'],['China'],"Navy General Hospital, Beijing","Navy General Hospital, Beijing",Global / Multi-Region,2.0,1.0,0.6
NCT06190145,Teriflunomide for Steroid-resistant/Relapse Immune Thrombocytopenia,Recruiting,Phase 2,['Immune Thrombocytopenia'],['Teriflunomide'],['China'],Peking University People's Hospital,Peking University People's Hospital,Global / Multi-Region,2.0,1.0,0.6
