nct_id,lead_sponsor_norm,region_label,benefit_score,estimated_trial_cost,enrollment_feasibility_score,brief_title,overall_status,phase,_benefit_raw,_cost_raw,_safety_raw,_pool_score,_rank_score,_sponsor_count
NCT06641466,Pfizer,UNKNOWN,1.0,2.0,1.0,A Study to Learn About the Study Medicine Called Rimegepant in Women When Used for Intermittent Prevention of Menstrual Migraine,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.05058680693545123,6
NCT06760637,Pfizer,UNKNOWN,1.0,2.0,1.0,Study of PF-07220060 With Letrozole in Adults With HR-positive HER2-negative Breast Cancer Who Have Not Received Anticancer Treatment for Advanced/Metastatic Disease,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.05058680693545123,6
NCT05737563,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,PD-1 Antibody Combined With mXELIRI Versus mXELIRI in the Second-line Setting for ESCC,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.10117361387090246,7
NCT06726421,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,Systemic Therapy Alone or with Stereotactic Body Radiotherapy for Oligometastatic Kidney Cancer (STROKER Study),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.10117361387090246,7
NCT06734702,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,Neoadjuvant Immunotherapy Plus Chemotherapy Followed by Concurrent Chemoradiotherapy and Consolidative Immunotherapy for Locally Advanced Non-small Cell Lung Cancer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.10117361387090246,7
NCT05600491,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,A Phase III Study of Postoperative Early Temozolomide Treatment Plus STUPP Regimen for Newly Diagnosed GBM Multiforme,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.10117361387090246,7
NCT06749899,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,QL1706 (PD-1/CTLA-4 Bi-specific Antibody) and Chemoradiotherapy in Locoregionally-advanced Nasopharyngeal Carcinoma.,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.10117361387090246,7
NCT06712888,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,Toripalimab Vs. Placebo Wtih GP Induction Chemotherapy in Locoregionally Advanced Nasopharyngeal Carcinoma,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.10117361387090246,7
NCT05794971,Sun Yat-sen University,UNKNOWN,1.0,2.0,1.0,Regorafenib Combined With Irinotecan Drug-Eluting Beads for Colorectal Cancer Liver Metastases,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.10117361387090246,7
NCT05795140,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,"Evaluate Long-term Safety, Tolerability and Efficacy of Iptacopan in Study Participants With aHUS",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.15176042080635369,8
NCT06744920,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,"A Study to Investigate the Efficacy, Safety and Tolerability of Remibrutinib Versus Placebo in Adult Patients With Generalized Myasthenia Gravis",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.15176042080635369,8
NCT05648968,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,A Study of Efficacy and Safety of Ianalumab in Previously Treated Patients With Warm Autoimmune Hemolytic Anemia,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.15176042080635369,8
NCT05639114,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,Phase 3 Study to Evaluate Two Regimens of Ianalumab on Top of Standard-of-care Therapy in Patients With Systemic Lupus Erythematosus (SIRIUS-SLE 1),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.15176042080635369,8
NCT05624749,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,Phase 3 Study to Evaluate Ianalumab on Top of Standard-of-care Therapy in Patients With Systemic Lupus Erythematosus (SIRIUS-SLE 2),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.15176042080635369,8
NCT05677451,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,"24 Weeks Double-blind Randomized Placebo-controlled Trial to Evaluate Efficacy, PK, Safety of LOU064 in Adolescents (12 - <18) With CSU and Inadequate Response to H1-antihistamine Followed by Optional 3 Years Open-label Extension and an Optional 3 Years Safety Long-term Treatment-free Follow-up",RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.15176042080635369,8
NCT06711887,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,Phase III Extension Study of Efficacy and Safety of Ianalumab With or Without Study Treatment Withdrawal in Participants With Lupus Nephritis (SIRIUS-LN Extension),RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.15176042080635369,8
NCT05827081,Novartis Pharmaceuticals,UNKNOWN,1.0,2.0,1.0,Phase IIIb Study of Ribociclib + ET in Early Breast Cancer,RECRUITING,PHASE3,1.0,2.0,0.0,0.7448928726121198,-0.15176042080635369,8
