method,K,lambda_cost,lambda_safety,noise_sigma,objective_mean,objective_std,jaccard_mean,jaccard_std,n_runs,objective_norm_mean
qaoa,6,1.0,0.5,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,6,1.0,1.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,6,1.0,2.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,6,2.0,0.5,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,6,2.0,1.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,6,2.0,2.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,0.5,0.5,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,0.5,1.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,0.5,2.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,1.0,0.5,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,1.0,1.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,1.0,2.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,2.0,0.5,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,2.0,1.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,9,2.0,2.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,12,0.5,0.5,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,12,0.5,1.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,12,0.5,2.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,12,1.0,0.5,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,12,1.0,1.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
qaoa,12,1.0,2.0,0.1,-1015.473325607404,18.458408487894648,0.6893939393939394,0.0972140230046472,3,0.0
