config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,penalty_A,shots,gamma_0,beta_0,best_mean_energy,best_bitstring,jaccard_vs_baseline,selected_n,total_benefit,total_cost,total_safety,objective,objective_norm
K3_lc2.0_ls2.0_sig0.1_seed2_pool6_shots1024_A10.0,3,2.0,2.0,0.1,2,6,10.0,1024,1.0,0.2,-72.42649238024622,001101,0.5,3,1.098498614516319,0.7039539307908385,1.2029963787787397,2.7154020046228373,0.3148202793605546
K6_lc0.5_ls0.5_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,0.5,0.0,0,6,10.0,1024,1.5333333333333332,1.8,-272.11572265625,111111,1.0,6,0.0,0.0,6.0,3.0,0.3358228876656382
K6_lc0.5_ls0.5_sig0.0_seed1_pool6_shots1024_A10.0,6,0.5,0.5,0.0,1,6,10.0,1024,1.5333333333333332,1.8,-272.3359375,111111,1.0,6,0.0,0.0,6.0,3.0,0.3358228876656382
K6_lc0.5_ls0.5_sig0.0_seed2_pool6_shots1024_A10.0,6,0.5,0.5,0.0,2,6,10.0,1024,1.5333333333333332,1.8,-270.89208984375,111111,1.0,6,0.0,0.0,6.0,3.0,0.3358228876656382
K6_lc0.5_ls0.5_sig0.05_seed0_pool6_shots1024_A10.0,6,0.5,0.5,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-298.2546237768383,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,-0.8200582308601019,0.05391230491877452
K6_lc0.5_ls0.5_sig0.05_seed1_pool6_shots1024_A10.0,6,0.5,0.5,0.05,1,6,10.0,1024,1.5333333333333332,1.8,-301.4274985646667,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,-0.4921853360133861,0.07810849075344113
K6_lc0.5_ls0.5_sig0.05_seed2_pool6_shots1024_A10.0,6,0.5,0.5,0.05,2,6,10.0,1024,1.5333333333333332,1.8,-298.3991255071681,111101,0.8333333333333334,5,2.9439325928362834,1.8597601581521488,2.0647010668254318,-0.9817019803474931,0.04198340727861513
K6_lc0.5_ls0.5_sig0.1_seed0_pool6_shots1024_A10.0,6,0.5,0.5,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-298.74449990100635,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,-0.812221368172886,0.05449064545536962
K6_lc0.5_ls0.5_sig0.1_seed1_pool6_shots1024_A10.0,6,0.5,0.5,0.1,1,6,10.0,1024,1.5333333333333332,1.8,-301.4846402260757,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,-0.4892872736944378,0.0783223603825927
K6_lc0.5_ls0.5_sig0.1_seed2_pool6_shots1024_A10.0,6,0.5,0.5,0.1,2,6,10.0,1024,1.5333333333333332,1.8,-298.3092706161519,111101,0.8333333333333334,5,2.943932592843226,1.8662335416495721,2.0647010668034835,-0.9784652886166982,0.042222266897201335
K6_lc0.5_ls1.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,1.0,0.0,0,6,10.0,1024,1.2666666666666666,1.0,-329.310546875,111111,1.0,6,0.0,0.0,6.0,6.0,0.5572152584437589
K6_lc0.5_ls1.0_sig0.0_seed1_pool6_shots1024_A10.0,6,0.5,1.0,0.0,1,6,10.0,1024,1.2666666666666666,1.0,-329.533203125,111111,1.0,6,0.0,0.0,6.0,6.0,0.5572152584437589
K6_lc0.5_ls1.0_sig0.0_seed2_pool6_shots1024_A10.0,6,0.5,1.0,0.0,2,6,10.0,1024,1.2666666666666666,1.0,-328.7666015625,111111,1.0,6,0.0,0.0,6.0,6.0,0.5572152584437589
K6_lc0.5_ls1.0_sig0.05_seed0_pool6_shots1024_A10.0,6,0.5,1.0,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-293.5233383096758,111110,0.8333333333333334,5,2.6507198324938033,1.8538004862060138,0.9322639464593878,-0.7915556429314086,0.056015723423722935
K6_lc0.5_ls1.0_sig0.05_seed1_pool6_shots1024_A10.0,6,0.5,1.0,0.05,1,6,10.0,1024,1.5333333333333332,1.8,-289.5797485559231,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,1.2409263301948146,0.20600772428845857
K6_lc0.5_ls1.0_sig0.05_seed2_pool6_shots1024_A10.0,6,0.5,1.0,0.05,2,6,10.0,1024,1.5333333333333332,1.8,-287.6457946929894,111111,1.0,6,3.3963352989970734,2.7281619015516037,3.0647010668254318,1.0324467186041604,0.19062245913213968
K6_lc0.5_ls1.0_sig0.1_seed0_pool6_shots1024_A10.0,6,0.5,1.0,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-293.6002371634064,111110,0.8333333333333334,5,2.6507198325163412,1.869474211642717,0.9322639464400734,-0.7837187802549094,0.05659406395952718
K6_lc0.5_ls1.0_sig0.1_seed1_pool6_shots1024_A10.0,6,0.5,1.0,0.1,1,6,10.0,1024,1.5333333333333332,1.8,-289.578167661395,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,1.2438243925042776,0.20622159391691014
K6_lc0.5_ls1.0_sig0.1_seed2_pool6_shots1024_A10.0,6,0.5,1.0,0.1,2,6,10.0,1024,1.5333333333333332,1.8,-287.4403994632552,111111,1.0,6,3.3963352990050826,2.736065473199977,3.0647010668034835,1.0363985043983894,0.19091409087407024
K6_lc0.5_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334,-344.625,111111,1.0,6,0.0,0.0,6.0,12.0,1.0
K6_lc0.5_ls2.0_sig0.0_seed1_pool6_shots1024_A10.0,6,0.5,2.0,0.0,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-345.09765625,111111,1.0,6,0.0,0.0,6.0,12.0,1.0
K6_lc0.5_ls2.0_sig0.0_seed2_pool6_shots1024_A10.0,6,0.5,2.0,0.0,2,6,10.0,1024,1.2666666666666666,0.7333333333333334,-344.59375,111111,1.0,6,0.0,0.0,6.0,12.0,1.0
K6_lc0.5_ls2.0_sig0.05_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-284.1323748215259,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,2.0783376888289795,0.2678065529566402
K6_lc0.5_ls2.0_sig0.05_seed1_pool6_shots1024_A10.0,6,0.5,2.0,0.05,1,6,10.0,1024,1.2666666666666666,1.0,-303.9806404604934,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,4.707149662611216,0.46180619135849343
K6_lc0.5_ls2.0_sig0.05_seed2_pool6_shots1024_A10.0,6,0.5,2.0,0.05,2,6,10.0,1024,1.2666666666666666,1.0,-280.9715454504673,111101,0.8333333333333334,5,2.9439325928362834,1.8597601581521488,2.0647010668254318,2.1153496198906545,0.2705379393449137
K6_lc0.5_ls2.0_sig0.1_seed0_pool6_shots1024_A10.0,6,0.5,2.0,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-284.0768964465019,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,2.0861745514872236,0.26838489349109723
K6_lc0.5_ls2.0_sig0.1_seed1_pool6_shots1024_A10.0,6,0.5,2.0,0.1,1,6,10.0,1024,1.2666666666666666,1.0,-304.04815629432215,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,4.710047724901708,0.46202006098554504
K6_lc0.5_ls2.0_sig0.1_seed2_pool6_shots1024_A10.0,6,0.5,2.0,0.1,2,6,10.0,1024,1.2666666666666666,1.0,-281.1214266709295,111101,0.8333333333333334,5,2.943932592843226,1.8662335416495721,2.0647010668034835,2.118586311588527,0.2707767989610703
K6_lc1.0_ls0.5_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,0.5,0.0,0,6,10.0,1024,1.5333333333333332,1.8,-272.11572265625,111111,1.0,6,0.0,0.0,6.0,3.0,0.3358228876656382
K6_lc1.0_ls0.5_sig0.0_seed1_pool6_shots1024_A10.0,6,1.0,0.5,0.0,1,6,10.0,1024,1.5333333333333332,1.8,-272.3359375,111111,1.0,6,0.0,0.0,6.0,3.0,0.3358228876656382
K6_lc1.0_ls0.5_sig0.0_seed2_pool6_shots1024_A10.0,6,1.0,0.5,0.0,2,6,10.0,1024,1.5333333333333332,1.8,-270.89208984375,111111,1.0,6,0.0,0.0,6.0,3.0,0.3358228876656382
K6_lc1.0_ls0.5_sig0.05_seed0_pool6_shots1024_A10.0,6,1.0,0.5,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-288.9959993924408,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,0.6068420122312272,0.15921391414606317
K6_lc1.0_ls0.5_sig0.05_seed1_pool6_shots1024_A10.0,6,1.0,0.5,0.05,1,6,10.0,1024,1.5333333333333332,1.8,-283.4957919692312,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,1.5229978364254224,0.22682388411957513
K6_lc1.0_ls0.5_sig0.05_seed2_pool6_shots1024_A10.0,6,1.0,0.5,0.05,2,6,10.0,1024,1.5333333333333332,1.8,-291.3831173640768,111101,0.8333333333333334,5,2.9439325928362834,1.8597601581521488,2.0647010668254318,-0.051821901271418724,0.11060619236061459
K6_lc1.0_ls0.5_sig0.1_seed0_pool6_shots1024_A10.0,6,1.0,0.5,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-288.95606561205403,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,0.6225157376426342,0.16037059522198208
K6_lc1.0_ls0.5_sig0.1_seed1_pool6_shots1024_A10.0,6,1.0,0.5,0.1,1,6,10.0,1024,1.5333333333333332,1.8,-283.6882188871358,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,1.5287939610920058,0.2272516233799953
K6_lc1.0_ls0.5_sig0.1_seed2_pool6_shots1024_A10.0,6,1.0,0.5,0.1,2,6,10.0,1024,1.5333333333333332,1.8,-291.2356398227356,111101,0.8333333333333334,5,2.943932592843226,1.8662335416495721,2.0647010668034835,-0.04534851779191196,0.11108391159910923
K6_lc1.0_ls1.0_sig0.0_seed0_pool6_shots1024_A10.0,6,1.0,1.0,0.0,0,6,10.0,1024,1.2666666666666666,1.0,-329.310546875,111111,1.0,6,0.0,0.0,6.0,6.0,0.5572152584437589
K6_lc1.0_ls1.0_sig0.0_seed1_pool6_shots1024_A10.0,6,1.0,1.0,0.0,1,6,10.0,1024,1.2666666666666666,1.0,-329.533203125,111111,1.0,6,0.0,0.0,6.0,6.0,0.5572152584437589
