config_key,nct_id
K=50|lc=1.0|ls=1.0,NCT06229210
K=50|lc=1.0|ls=1.0,NCT06229288
K=50|lc=1.0|ls=1.0,NCT06229340
K=50|lc=1.0|ls=1.0,NCT06229483
K=50|lc=1.0|ls=1.0,NCT06229795
K=50|lc=1.0|ls=1.0,NCT06229912
K=50|lc=1.0|ls=1.0,NCT06230224
K=50|lc=1.0|ls=1.0,NCT06230354
K=50|lc=1.0|ls=1.0,NCT06230445
K=50|lc=1.0|ls=1.0,NCT06230471
K=50|lc=1.0|ls=1.0,NCT06230757
K=50|lc=1.0|ls=1.0,NCT06231017
