config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,penalty_A,shots,gamma_0,beta_0,best_mean_energy,best_bitstring,jaccard_vs_baseline,selected_n,total_benefit,total_cost,total_safety,objective
K6_lc2.0_ls0.5_sig0.0_seed0_pool6_shots1024_A10.0,6,2.0,0.5,0.0,0,6,10.0,1024,1.5333333333333332,1.8,-272.11572265625,111111,1.0,6,0.0,0.0,6.0,3.0
K6_lc2.0_ls0.5_sig0.0_seed1_pool6_shots1024_A10.0,6,2.0,0.5,0.0,1,6,10.0,1024,1.5333333333333332,1.8,-272.3359375,111111,1.0,6,0.0,0.0,6.0,3.0
K6_lc2.0_ls0.5_sig0.0_seed2_pool6_shots1024_A10.0,6,2.0,0.5,0.0,2,6,10.0,1024,1.5333333333333332,1.8,-270.89208984375,111111,1.0,6,0.0,0.0,6.0,3.0
K6_lc2.0_ls0.5_sig0.05_seed0_pool6_shots1024_A10.0,6,2.0,0.5,0.05,0,6,10.0,1024,1.0,1.2666666666666666,-268.14242087965783,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,3.4606424984138853
K6_lc2.0_ls0.5_sig0.05_seed1_pool6_shots1024_A10.0,6,2.0,0.5,0.05,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-317.84437892446715,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,5.553364181303039
K6_lc2.0_ls0.5_sig0.05_seed2_pool6_shots1024_A10.0,6,2.0,0.5,0.05,2,6,10.0,1024,1.0,1.2666666666666666,-270.5349018822322,111111,1.0,6,3.3963352989970734,2.7281619015516037,3.0647010668254318,3.5923390375188498
K6_lc2.0_ls0.5_sig0.1_seed0_pool6_shots1024_A10.0,6,2.0,0.5,0.1,0,6,10.0,1024,1.0,1.2666666666666666,-267.87103225155255,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,3.491989949273675
K6_lc2.0_ls0.5_sig0.1_seed1_pool6_shots1024_A10.0,6,2.0,0.5,0.1,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-318.0106556459074,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,5.564956430664893
K6_lc2.0_ls0.5_sig0.1_seed2_pool6_shots1024_A10.0,6,2.0,0.5,0.1,2,6,10.0,1024,1.0,1.2666666666666666,-270.47219211690077,111111,1.0,6,3.3963352990050826,2.736065473199977,3.0647010668034835,3.608146180796613
K6_lc2.0_ls1.0_sig0.0_seed0_pool6_shots1024_A10.0,6,2.0,1.0,0.0,0,6,10.0,1024,1.2666666666666666,1.0,-329.310546875,111111,1.0,6,0.0,0.0,6.0,6.0
